INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2021/06/14 20:08:39
AlgTestJClient version; 1.8.0
AlgTest applet version; 1.8.0_jc222
Used reader; Identiv Identiv uTrust 4701 F Dual Interface Reader [uTrust 4701 F CL Reader] (55041930208768) 01 00
Card ATR; 3b 88 80 01 00 00 00 11 77 81 83 00 6d
Card name; NFC Ring Omni
Card provider; please insert link/description of shop where card was bought
Used protocol; T=1
High-power mode supported (relevant only to SIM cards according to ETSI 102 221); no

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;2164B;
JCSystem.getMaxCommitCapacity();1022B;
APDU.getInBlockSize();256B;
APDU.getOutBlockSize();256B;
APDU.getProtocol();-111B;
APDU.getNAD();-1B;

CPLC; 9f 7f 2a 40 90 78 05 40 91 20 13 01 10 83 29 28 01 0e 20 b9 73 40 92 82 97 40 93 82 97 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
CPLC.ICFabricator;4090;Infineon
CPLC.ICType;7805
CPLC.OperatingSystemID;4091
CPLC.OperatingSystemReleaseDate;2013
CPLC.OperatingSystemReleaseLevel;0110
CPLC.ICFabricationDate;8329;(Y DDD) date in that year
CPLC.ICSerialNumber;28010e20
CPLC.ICBatchIdentifier;b973
CPLC.ICModuleFabricator;4092
CPLC.ICModulePackagingDate;8297
CPLC.ICCManufacturer;4093
CPLC.ICEmbeddingDate;8297
CPLC.ICPrePersonalizer;0000
CPLC.ICPrePersonalizationEquipmentDate;0000
CPLC.ICPrePersonalizationEquipmentID;00000000
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

algorithm_name; is_supported; time_elapsed; persistent_mem_allocated; ram_deselect_allocated; ram_reset_allocated;

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;		0.159000;0;12;12
ALG_DES_CBC_ISO9797_M1;yes;		0.161000;0;12;12
ALG_DES_CBC_ISO9797_M2;yes;		0.330000;0;12;12
ALG_DES_CBC_PKCS5;yes;		0.321000;0;12;12
ALG_DES_ECB_NOPAD;yes;		0.327000;0;4;4
ALG_DES_ECB_ISO9797_M1;yes;		0.319000;0;4;4
ALG_DES_ECB_ISO9797_M2;yes;		0.334000;0;4;4
ALG_DES_ECB_PKCS5;yes;		0.320000;0;4;4
ALG_RSA_ISO14888;yes;		0.217000;0;0;0
ALG_RSA_PKCS1;yes;		0.172000;0;4;4
ALG_RSA_ISO9796;yes;		0.219000;0;0;0
ALG_RSA_NOPAD;yes;		0.161000;0;4;4
ALG_AES_BLOCK_128_CBC_NOPAD;yes;		0.334000;0;20;20
ALG_AES_BLOCK_128_ECB_NOPAD;yes;		0.320000;0;4;4
ALG_RSA_PKCS1_OAEP;yes;		0.216000;0;0;0
ALG_KOREAN_SEED_ECB_NOPAD;yes;		0.055000;0;0;0
ALG_KOREAN_SEED_CBC_NOPAD;yes;		0.055000;0;0;0
ALG_AES_BLOCK_192_CBC_NOPAD;yes;		0.056000;0;0;0
ALG_AES_BLOCK_192_ECB_NOPAD;yes;		0.056000;0;0;0
ALG_AES_BLOCK_256_CBC_NOPAD;yes;		0.056000;0;0;0
ALG_AES_BLOCK_256_ECB_NOPAD;yes;		0.055000;0;0;0
ALG_AES_CBC_ISO9797_M1;yes;		0.173000;0;20;20
ALG_AES_CBC_ISO9797_M2;yes;		0.319000;0;20;20
ALG_AES_CBC_PKCS5;yes;		0.329000;0;4;4
ALG_AES_ECB_ISO9797_M1;yes;		0.319000;0;4;4
ALG_AES_ECB_ISO9797_M2;yes;		0.330000;0;4;4
ALG_AES_ECB_PKCS5;yes;		0.322000;0;4;4
ALG_AES_CFB;yes;		0.217000;0;0;0
ALG_AES_XTS;yes;		0.057000;0;0;0
ALG_AES_CTR;yes;		0.056000;0;0;0
CIPHER_AES_CCM;yes;		0.055000;0;0;0
